所属,简体中文,English,日本語,其他明确词形,类型,首都/关系,现状,时间范围,简体中文依据,来源,审查状态,审查备注
阿戈尔,弥利亚留姆,Milliarium,,,城市/信标站,,陷落/毁坏,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Milliarium,部分已核,待补：日文
玻利瓦尔,黑流树海,Blackflow Forest,,,地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/玻利瓦尔,部分已核,待补：日文
玻利瓦尔,玻利瓦尔平原,Bolívar Plain,,,地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/玻利瓦尔,部分已核,待补：日文
玻利瓦尔,多索雷斯,Dossoles,ドッソレス,,城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Dossoles,部分已核,
玻利瓦尔,克里斯达尔展厅,Galería Krysztauowa,クリスタウォワ展示室,,展馆,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Galer%C3%ADa_Krysztauowa_%28furniture_theme%29 | https://arknights.wiki.gg/wiki/Galer%C3%ADa_Krysztauowa,部分已核,
哥伦比亚,达维镇,Davistown,デイヴィスタウン,,聚落,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Davistown,部分已核,
哥伦比亚,堡垒山城,Fortress Hill City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,万星园,Galleria Stellaria,星の庭,,太空设施,,漂流/失去动力,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Galleria_Stellaria,部分已核,
哥伦比亚,铸铁城,Ironforge City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,曼斯菲尔德州立监狱,Mansfield State Prison,マンスフィールド州立刑務所,,监狱,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Mansfield_State_Prison,部分已核,
哥伦比亚,新曼法斯特,New Manfeld,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,纽莱堡市,New Raythean City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,螺旋桨天堂,Propeller Paradise,プロペラパラダイス,,空中游乐园,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Propeller_Paradise,部分已核,
哥伦比亚,圣苏菲城,Saint Sophia City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,骸骨荒原,Skeleton Wasteland,,,地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚,部分已核,待补：日文
哥伦比亚,提卡伦多,Tkaronto,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚 | https://arknights.wiki.gg/wiki/Tkaronto,部分已核,待补：日文
哥伦比亚,特里蒙,Trimounts,トリマウンツ,,移动城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Trimounts,部分已核,
哥伦比亚,蓝卡坞,Wrankwood,ランクウッド,,城市／电影工业中心,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/哥伦比亚 | https://arknights.wiki.gg/wiki/Wrankwood,部分已核,待补：日文
杜林,际崖城,Zeruertza,ゼルウェルツァ,,城市,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Zeruertza,部分已核,待补：日文
高卢,林贡斯,Lingones,リンゴネス,,历史城市,,历史地点,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Lingones,部分已核,
东,锁川城,Suokawa City,,,城市,首都,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
东,后川城,Atogawa City,,,城市,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
东,御机,Mitsukue,,,聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东 | https://arknights.wiki.gg/wiki/Mitsukue,部分已核,待补：日文
东,御机大社,Mitsukue Grand Shrine,,,宗教建筑,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
东,北院,Northern Court,,,政治地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
东,露华,Roka,露華,,村落,,重建中,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Roka,部分已核,
东,南院,Southern Court,,,政治地区,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
东,常暗裂谷,Tokoyami Ravine,,,自然地貌,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/东,部分已核,待补：日文
伊比利亚,伊比利亚之眼,Eye of Iberia,イベリアの眼,,建筑,,现存,,简中资料或既有三服索引,https://arknights.wiki.gg/wiki/Eye_of_Iberia,部分已核,
伊比利亚,格兰法洛,Gran Faro,,,聚落,,现存,,简中资料或既有三服索引,https://prts.wiki/w/泰拉大典:地理/伊比利亚 | https://arknights.wiki.gg/wiki/Gran_Faro,部分已核,待补：日文
