类别,序号,中文,English,日本語,内容/规则,三语依据,来源,审查状态
过往演出展览,1,真相无言,The Truth is Silent,日文未定位,剧作拒绝给出显而易见的真相，催促“血钻”继续寻找,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,2,猩红孤钻,Crimson Solitaire,日文未定位,以“欢迎回家”召回血钻,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,3,温暖的火,Warm Fire,日文未定位,炉火提供短暂安宁，危险只是暂时远离,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,4,古堡大门,The Castle's Doors,日文未定位,残破古堡已被艺术组织占据，剧院向演员和观众开门,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,5,唯此刻永恒,This Moment is Eternal,日文未定位,石像以姿态而非语言讲述故事，宁静可能被闯入者打破,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,6,楚楚可怜,Refined Beauty,日文未定位,被救者的精致外表并非真实面貌，双方对身份的判断都错位,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,7,余晖,Afterglow,日文未定位,舞台道具承载高卢最后的光辉与悲哀,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,8,热情似火,Passion Like Fire,日文未定位,生活与舞蹈不可分，热情足以穿越风浪,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,9,音乐之声,The Sound of Music,日文未定位,青年循音乐与艺术憧憬而来，也循音乐进入黑暗真相,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,10,石中剑,The Sword in the Stone,日文未定位,一个跨时代符号使观众预知熟悉的叙事结构,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,11,癔症,Hysteria,日文未定位,艺术压迫令承受者崩溃,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,12,往日秘辛,Stories of Days Gone By,日文未定位,四张牌保存傀影过去和某夜碎片，是否告知本人是关键选择,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,13,猩红舞会,Crimson Masquerade,日文未定位,无身份舞会极具诱惑，表象遮蔽致命细节,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,14,鸭爵登场,Duck Lord Takes the Stage,日文未定位,熟悉角色以意料之外的方式出现,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,15,高普尼克的回忆,Gopnik's Memories,日文未定位,往日不再、物是人非,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,16,奢华棺木,Extravagant Coffin,日文未定位,移动城市居民对旧丧葬习俗和萨卡兹的刻板印象,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,17,绅士的结局,A Gentleman's Ending,日文未定位,先前选择错误后，最终询问已经无法挽回悲剧,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,18,缩影,Epitome,日文未定位,简陋舞台、易懂剧目与单一角色可勾勒历史轮廓,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,19,老童话,Old Fairy Tale,日文未定位,儿童读物因记忆与时间而更具力量,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,20,开怀畅饮,Happy Drinking,日文未定位,液体带来递增愉悦，隐含失控诱惑,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,21,宝藏在哪里？,Where's the Treasure?,日文未定位,垃圾堆中或许没有宝藏，探索仍被继续鼓励,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,22,皇帝的肖像,The Emperor's Portrait,日文未定位,普通人的公共印象被画框中的肖像固定,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,23,锡人,Tin Man,日文未定位,机械身体容纳有趣灵魂，也承载萨卡兹长期苦痛,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,24,绝望,Despair,日文未定位,死亡并非悲剧的最终边界,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,25,疯狂玩偶,Crazy Puppets,日文未定位,报幕人的粗糙扭曲造物最终反噬创作者,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,26,解脱,Reprieve,日文未定位,心愿完成，允许角色离开,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,27,沉眠的宝物,Sleeping Treasure,日文未定位,封存在盒中的宝物等待被唤醒,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,28,尘封的宝物,Dust-laden Treasure,日文未定位,往事碎片让失落城市获得短暂新生,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,29,铭刻,Inscription,日文未定位,历史与艺术相互塑形，观看者各取所需,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,30,修饰,Decoration,日文未定位,追问美与完美的边界,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,31,品鉴,Appraisal,日文未定位,艺术无统一通则，权威资格受到质疑,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,32,氛围,Ambience,日文未定位,无名而无处不在的舞台条件,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,33,生意兴隆,Thriving Business,日文未定位,优质小酒厂可能带来商业成功,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,34,神秘晚宴,Mysterious Banquet,日文未定位,只有异常原因才会让人放弃宴会享乐,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,35,密谋,Conspiracy,日文未定位,神秘外壳剥落，显出痴狂内在,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,36,自我囚禁,Endocarceration,日文未定位,写作高于躯壳，自愿隔绝以创作,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,37,创作,Creation,日文未定位,对作品的失望推动反复焚烧与重写,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,38,落幕,Curtain Fall,日文未定位,众人庆祝期盼已久的美好结局,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,39,幕后黑手,True Mastermind,日文未定位,欢庆之外，Miss.Christine 看见阴谋发起者,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,40,开演,Start of the Show,日文未定位,剧团因傀影“覆灭”，又被宣称会因他重生,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
过往演出展览,41,沉默之章,Silent Chapter,日文未定位,一页精雕稿件交给团长，薄纸将毁掉无数生活,中英直接文本,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Past_Performances,待补来源
