序号,事实文件,自然定位字段,自然定位值,纳入状态,审核状态
01,docs/background/01_world/04_地点名录.csv,所属 + English,米诺斯 + Athenius,候选,待人工审核
02,docs/background/01_world/04_地点名录.csv,所属 + English,叙拉古 + Sicilia,候选,待人工审核
03,docs/background/01_world/04_地点名录.csv,所属 + English,乌萨斯 + Deity Grypherburg,候选,待人工审核
04,docs/background/01_world/04_地点名录.csv,所属 + English,炎 + Baizao,候选,待人工审核
05,docs/background/01_world/04_地点名录.csv,所属 + English,炎 + Dahuang,候选,待人工审核
06,docs/background/01_world/04_地点名录.csv,所属 + English,炎 + Lungmen,候选,待人工审核
07,docs/background/01_world/04_地点名录.csv,所属 + English,哥伦比亚 + Wrankwood,候选,待人工审核
08,docs/background/01_world/04_地点名录.csv,所属 + English,叙拉古 + Montelupe,候选,待人工审核
09,docs/background/01_world/04_地点名录.csv,所属 + English,叙拉古 + Volsinii,候选,待人工审核
10,docs/background/01_world/04_地点名录.csv,所属 + English,伊比利亚 + Gran Faro,候选,待人工审核
11,docs/background/01_world/04_地点名录.csv,所属 + English,卡西米尔 + Kawalerielki,候选,待人工审核
12,docs/background/01_world/04_地点名录.csv,所属 + English,莱塔尼亚 + Vyseheim,候选,待人工审核
13,docs/background/01_world/04_地点名录.csv,所属 + English,哥伦比亚 + Trimounts,候选,待人工审核
14,docs/background/01_world/04_地点名录.csv,所属 + English,维多利亚 + Londinium,候选,待人工审核
15,docs/background/01_world/04_地点名录.csv,所属 + English,维多利亚 + Calais-Blason,候选,待人工审核
16,docs/background/01_world/02_国家实体.csv,English,Siesta,候选,待人工审核
