所属,English,工作中文名,拟写依据,来源,审查状态,说明
伊比利亚,Real-Iberia,真伊比利亚,编辑转写，非官译,https://arknights.wiki.gg/wiki/Real-Iberia,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
莱塔尼亚,Fels,费尔斯,编辑音译，非官译,https://arknights.wiki.gg/wiki/Leithanien,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
莱塔尼亚,Uraniborg,乌拉尼堡,编辑转写；备选“乌拉尼博格”，非官译,https://arknights.wiki.gg/wiki/Uraniborg,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
米诺斯,Akroti,阿克罗蒂,编辑音译，非官译,https://arknights.wiki.gg/wiki/Minos,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
米诺斯,Lachedamon,拉刻代蒙,依古希腊地名通行转写推拟，非官译,https://arknights.wiki.gg/wiki/Minos,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
萨尔贡,Bayalir,巴亚利尔,编辑音译，非官译,https://arknights.wiki.gg/wiki/Sargon,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
萨尔贡,Kerthun Valley,克尔松谷,编辑音译，非官译,https://arknights.wiki.gg/wiki/Sargon,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
萨尔贡,Shahr-Cheshmeh,沙赫尔-切什梅,依波斯语构词转写推拟，非官译,https://arknights.wiki.gg/wiki/Sargon,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
萨尔贡,Szubat-Arsalan,苏巴特-阿尔斯兰,编辑音译，非官译,https://arknights.wiki.gg/wiki/Szubat-Arsalan,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
萨尔贡,Varjavandabad Museum,瓦尔贾万达巴德博物馆,依波斯式地名构词转写推拟，非官译,https://arknights.wiki.gg/wiki/Varjavandabad_Museum,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
乌萨斯,Nikolsk,尼科尔斯克,依俄语地名构词转写推拟，非官译,https://arknights.wiki.gg/wiki/Ursus,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
乌萨斯,Shiraziberg,希拉齐堡,混合语源的编辑转写；备选“设拉子堡”，非官译,https://arknights.wiki.gg/wiki/Ursus,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
乌萨斯,Simonch,西蒙奇,编辑音译，非官译,https://arknights.wiki.gg/wiki/Ursus,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
维多利亚,Palace of Westhaleg,韦斯特哈勒格宫,编辑音译，非官译,https://arknights.wiki.gg/wiki/Palace_of_Westhaleg,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
炎,Michu,米楚,编辑音译，非官译,https://arknights.wiki.gg/wiki/Yan,待设定审查,非官方中文词形；不得写入背景事实的官方名称字段
