中文,English,日本語,政治状态,实体类型,审查状态,审查备注
阿戈尔,Ægir,エーギル,文明仍存、与地表联系受阻,海洋文明/国家,已核,政治状态需随新剧情复核
玻利瓦尔,Bolívar,ボリバル,存续、长期分裂,国家,已核,政治状态需随新剧情复核
哥伦比亚,Columbia,クルビア,存续,联邦共和国,已核,政治状态需随新剧情复核
杜林,Durin,ドゥリン,存续、主要位于地下,地下文明/联盟,已核,政治状态需随新剧情复核
高卢,Gaul,ガリア,已灭亡,历史帝国,已核,政治状态需随新剧情复核
东,Higashi,極東,存续,国家,已核,政治状态需随新剧情复核
伊比利亚,Iberia,イベリア,存续但衰落,王国,已核,政治状态需随新剧情复核
卡兹戴尔,Kazdel,カズデル,争夺/重建中,故土/国家,已核,政治状态需随新剧情复核
卡西米尔,Kazimierz,カジミエーシュ,存续,联合国家,已核,政治状态需随新剧情复核
谢拉格,Kjerag,イェラグ,存续、改革中,山地国家,已核,政治状态需随新剧情复核
拉特兰,Laterano,ラテラーノ,存续,城邦/神权国家,已核,政治状态需随新剧情复核
莱塔尼亚,Leithanien,リターニア,存续,双王制帝国,已核,政治状态需随新剧情复核
龙门,Lungmen,龍門,存续,炎属自治城市,已核,政治状态需随新剧情复核
米诺斯,Minos,ミノス,存续,国家,已核,政治状态需随新剧情复核
梦魇,Nightzmora,ナイツモラ,历史实体消亡,历史汗国/族群,已核,政治状态需随新剧情复核
雷姆必拓,Rim Billiton,レム・ビリトン,存续,矿业联合/企业国家,已核,政治状态需随新剧情复核
萨米,Sami,サーミ,存续、去中心化,地区/诸民族,已核,政治状态需随新剧情复核
萨尔贡,Sargon,サルゴン,存续,高度自治的帝国,已核,政治状态需随新剧情复核
汐斯塔,Siesta,シエスタ,存续,自由邦,已核,政治状态需随新剧情复核
叙拉古,Siracusa,シラクーザ,存续,城邦联盟,已核,政治状态需随新剧情复核
塔拉,Tara,ターラー,复国/争夺中,王国/民族运动,已核,政治状态需随新剧情复核
乌萨斯,Ursus,ウルサス,存续,帝国,已核,政治状态需随新剧情复核
维多利亚,Victoria,ヴィクトリア,存续但政治破碎,帝国/王国,已核,政治状态需随新剧情复核
炎,Yan,炎国,存续,帝国,已核,政治状态需随新剧情复核
