世界内语言,现实语言参照,推荐短标签,其他可用形式,构词与用法,依据,审查状态,审查备注
阿戈尔语,古典拉丁语、英语式编码,Ægirian,Lingua Aegiriana,官方英文名可直接识别；拉丁式全称只用于礼仪语体,官方词形＋语言学扩展,部分已核,不得把现实代理语言等同完整世界内语言
玻利瓦尔语,拉美西语型、多语环境,Bolivariano,Iberiano bolivariano,短标签按西语形容词名词化；地区实际上并非单语,语言学推拟·中,待设定审查,
哥伦比亚语,美式英语型,Columbian,Victorian (Columbian),直接使用国际服形容词最自然；后一写法可强调它与维多利亚语的亲缘,官方英文词形,部分已核,
杜林语,巴斯克式地名层,Durinera,Durish；Durinera hizkuntza,巴斯克语常以 -era 构造语言名；Durish 是稳妥的国际服回退,语言学推拟·中,待设定审查,不得把现实代理语言等同完整世界内语言
高卢语,法语型,Gaulois,langue gauloise,法语中 gaulois 可作语言短标签；全称随 langue 使用阴性形式,语言学推拟·高,待母语审校,
东国语,日语型,極東語,東国語,日服国名为極東，短标签依日语“国名＋語”构成；東国語更贴近中文概念,官方日文衍生,部分已核,
伊比利亚语（西语型）,西班牙语型,Iberiano,idioma iberiano,与 Español 同类的形容词名词化；说明文可加 idioma,语言学推拟·高,待母语审校,
伊比利亚语（葡语型）,葡萄牙语型,Iberiano ocidental,Iberiano (variante ocidental),为避免两个 Iberiano 在菜单中重名，以区域语体限定；“ocidental”是编辑性区分,编辑方案,待设定审查,自然定位按伊比利亚西部语型消歧；不改变展示名称。
卡兹戴尔语,闪语与流散语体复合,Kazdelian,קזדלית；كازدلية,官方英文名最安全；两种本地文字候选分别按希伯来语和阿拉伯语语言名构词，适合隐藏层而非默认标签,官方英文＋语言学推拟·中,部分已核,不得把现实代理语言等同完整世界内语言
卡西米尔语,波兰语型,Kazimierski,język kazimierski；kazimierszczyzna,MediaWiki 式标签仿 Polski 用形容词；第二项是正式全称，第三项仿 polszczyzna 的文学性系统名,语言学推拟·高,待母语审校,
谢拉格语,挪威语＋阿勒曼尼德语型,Kjeragisk,Kjeragisch,主标签按挪威语 -isk；德语山区语体可用 -isch 变体,语言学推拟·中,待设定审查,
拉特兰语,教会拉丁语＋世界语型,Lateranensis,Laterano；Laterana,Lateranensis 可补全 lingua Lateranensis；Laterano 更像世界语不变词；Laterana 是简化拉丁式备选,语言学推拟·中,待设定审查,
莱塔尼亚语,德语型,Leithanisch,Leithanische Sprache,德语语言短标签可用名词化中性形式；说明文再使用 Sprache,语言学推拟·高,待母语审校,
龙门话,粤语型、炎语地区变体,龍門話,炎文（龍門話）；龍門語,“地方名＋話”比“＋語”更具粤语自称感；作为炎语区域变体可显示母语言,语言学推拟·高,待母语审校,
米诺斯语,希腊语型,Μινωικά,μινωική γλώσσα,仿 Ελληνικά、Ιταλικά 的中性复数语言标签；全称使用“米诺斯的语言”结构,语言学推拟·高,待母语审校,
梦魇语,蒙古语型,Найтзморан хэл,Найтзморан,蒙古语型全称用 хэл“语言”；短标签可省略,语言学推拟·中,待设定审查,
雷姆必拓区域语体,澳大利亚英语型,Victorian (Rim Billiton),Rim Victorian,把它视为维多利亚语区域变体，比虚构一门独立语言更合理,编辑方案,待设定审查,
萨米诸语言,环北极多语束,Sámegiella,davvisámegiella,总入口使用萨米语自称式标签；具体页面应继续拆分北萨米等语体,编辑方案＋现实自称参照,待设定审查,不得把现实代理语言等同完整世界内语言
萨尔贡诸语言,阿拉伯语、波斯语及更多语族复合,لغات سارغون,زبان‌های سارگون,两者分别是阿拉伯语型和波斯语型“萨尔贡诸语言”；不要伪装成全国唯一自称,编辑方案,待设定审查,不得把现实代理语言等同完整世界内语言
汐斯塔克里奥尔语,克里奥尔语、多语旅游环境,Kreyòl Siesta,Criollo siestano；Crioulo siestano,三种候选分别偏海地克里奥尔、西语和葡语；可按站内语体而非竞争官名使用,语言学推拟·中,待设定审查,不得把现实代理语言等同完整世界内语言
叙拉古语,意大利语型,Siracusano,lingua siracusana,官方标题 Il Siracusano 直接支持词干与阳性名词化；说明文随 lingua 变阴性,语言学推拟·高,待母语审校,
塔拉语,爱尔兰语型,Tengae,—,游戏世界内已有自称，优先于重新翻译出的 Taran Irish,世界内直接词形,部分已核,
乌萨斯语,俄语型,Урсусский,Урсусский язык,Урсус＋-ск- 构成语言形容词，界面按用户偏好首字母大写,语言学推拟·高,待母语审校,
维多利亚语,英式英语型,Victorian,Victorian English,国际服已有 Victorian；短标签不必重复 language/English,官方英文词形,部分已核,
炎语,汉语/汉字与多方言体系,炎文,炎语；大炎官话,仿“中文”采用“国名简称＋文”最像自称；炎语偏语言学，大炎官话偏官方标准语体,语言学推拟·中,待设定审查,
