中文,现实文化参照,世界内语言模型,内容性质,原审查备注
阿戈尔,亚特兰蒂斯、罗马语汇与原创海洋技术文明,阿戈尔语；古典拉丁与英语式编码，但不是替换密码,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
玻利瓦尔,拉丁美洲独立史与代理战争；委内瑞拉、墨西哥、巴西等复合,玻利瓦尔语及维多利亚语、莱塔尼亚语等并用,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
哥伦比亚,美国式年轻联邦、边疆、企业、移民与科技扩张,美式英语型哥伦比亚语及移民语言,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
杜林,矮人母题；部分地名有巴斯克语编码,杜林语；巴斯克仅能支持部分构词推拟,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
高卢,法兰西第一帝国、罗马/高卢命名层,法语型高卢语，历史上曾具国际声望,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
东,日本式南北政权、武家与现代产业,日语型东国语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
伊比利亚,西班牙、葡萄牙、海洋帝国与宗教审判,西语型与葡语型伊比利亚语并存,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
卡兹戴尔,萨卡兹故土；古近东、闪语与流散文化编码,卡兹戴尔语；古代闪语层和流散混合层,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
卡西米尔,波兰、骑士传统、资本、媒体与竞技产业,波兰语型卡西米尔语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
谢拉格,喜马拉雅/藏文化、瑞士、挪威与阿勒曼尼复合,挪威语型与阿勒曼尼德语型并存,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
拉特兰,梵蒂冈、瑞士、教会法、铳械契约与国际仲裁,教会拉丁语与世界语型,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
莱塔尼亚,奥匈与德语中欧；音乐、教育和源石技艺制度化,德语型莱塔尼亚语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
龙门,香港/粤语商业都会,粤语型龙门话；炎语与国际语言并行,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
米诺斯,古希腊、英雄史诗、城邦传统、戏剧与竞技,古希腊语型米诺斯语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
梦魇,蒙古帝国与草原联盟,蒙古语型梦魇语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
雷姆必拓,澳大利亚与跨国矿业企业,澳大利亚英语型区域语体,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
萨米,萨米、诺斯、因纽特等环北极复合,多语言簇,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
萨尔贡,中东、北非、撒哈拉以南非洲、南亚与古美索不达米亚复合,多语族、多方言连续体,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
汐斯塔,夏威夷、波多黎各、旅游经济与哥伦比亚资本,克里奥尔语；维多利亚、伊比利亚、哥伦比亚语常用,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
叙拉古,意大利、城邦、家族政治、法律、歌剧与电影,意大利语型叙拉古语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
塔拉,爱尔兰殖民史、独立与语言复兴,爱尔兰语型塔拉语；Tengae 是世界内自称,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
乌萨斯,俄罗斯帝国及周边帝国文化,俄语/西里尔字母型乌萨斯语,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
维多利亚,英国、大英帝国、工业城市与贵族制度,英式英语型维多利亚语；塔拉等地区语并存,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
炎,中国，尤以唐明政治文化与超大区域治理为主,炎语及众多地方方言,编辑分析,现实文化参照为编辑分析；政治状态需随新剧情复核
