编号,部门,项目,事实与含义,来源,证据
P-01,场景美术,蒂比与布景绘制,蒂比承担布景绘制；剧情明确把他称作场景画师。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-02,道具,仿真花,道具花以源石技艺恢复形态，可在镜头前重新绽放。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-03,置景,喷绘壁纸,快速把摄影棚变为萨尔贡沙漠、萨米雪屋或汐斯塔落日。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-04,特技,替身演员,使用伪装/隐匿类技艺完成危险镜头。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-05,摄影,吊臂摄影机,高位与移动镜头需要专门机械设备。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-06,特效,实拍特效技师,以源石技艺制造爆炸、雨雪与闪电，并非全靠后期。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-07,灯光,反光板,普通物理器材与技艺照明并用。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-08,道具操控,远程控物,道具可由源石技艺远程移动，增加镜头可控性。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-09,服装,羽毛与皮毛,设计师偏好黎博利或厚毛种族参与相关材质处理，涉及族群伦理。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-10,收音,无声地板,录音师以技艺屏障隔绝脚步与环境声。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-11,人才市场,莱塔尼亚毕业生,片场岗位吸引受过系统音乐/技艺教育的莱塔尼亚毕业生。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-12,后期,监视器与逐帧检查,电影制作已形成监看和逐帧修整工艺。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-13,导演,导演椅与扩音,导演椅可用技艺强化声音，体现片场权力和调度。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-14,道具车,假酒与假花,道具被描述得异常真实，适合表现旧酒神对现实的渗透。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-15,灯光,棚顶模拟天象,摄影棚灯光可模拟日光、星光与双月。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
P-16,舞台,红幕与绘景,红色帷幕、蒂比的绘景和无限阶梯把片场转化为酒神舞台。,https://prts.wiki/w/红丝绒,活动家具/剧情转录
