书写/显示语言,目标类别,目标槽位,词形,逐格依据,原填充色
Ægirian · 阿戈尔语,国家名,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,国家名,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Bolivariano · 玻利瓦尔语,国家名,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,杜林,Durin,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,高卢,Galia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,东,Higashi,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,伊比利亚·葡语域,Iberia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,卡兹戴尔,Kazdel,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,卡西米尔,Kazimierz,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,谢拉格,Kjerag,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,拉特兰,Laterano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,莱塔尼亚,Leithanien,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,龙门,Lungmen,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,米诺斯,Minos,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,梦魇,Nightzmora,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,雷姆必拓,Rim Billiton,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,萨米,Sami,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,萨尔贡,Sargon,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,汐斯塔,Siesta,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,叙拉古,Siracusa,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,塔拉,Tara,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,乌萨斯,Ursus,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,维多利亚,Victoria,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,国家名,炎,Yan,语言学推拟·中,FFE9DDF6
Columbian · 哥伦比亚语,国家名,阿戈尔,Ægir,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,玻利瓦尔,Bolívar,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,哥伦比亚,Columbia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,杜林,Durin,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,高卢,Gaul,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,东,Higashi,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,伊比利亚·西语域,Iberia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,伊比利亚·葡语域,Iberia,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,卡兹戴尔,Kazdel,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,卡西米尔,Kazimierz,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,谢拉格,Kjerag,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,拉特兰,Laterano,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,莱塔尼亚,Leithanien,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,龙门,Lungmen,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,米诺斯,Minos,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,梦魇,Nightzmora,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,雷姆必拓,Rim Billiton,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,萨米,Sami,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,萨尔贡,Sargon,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,汐斯塔,Siesta,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,叙拉古,Siracusa,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,塔拉,Tara,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,乌萨斯,Ursus,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,维多利亚,Victoria,国际服客户端词形,FFDDEEDC
Columbian · 哥伦比亚语,国家名,炎,Yan,国际服客户端词形,FFDDEEDC
Durinera · 杜林语,国家名,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Durinera · 杜林语,国家名,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Gaulois · 高卢语,国家名,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,杜林,Durin,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,高卢,Gaule,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,东,Higashi,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,伊比利亚·西语域,Ibérie,语言学推拟·中,FFE9DDF6
Gaulois · 高卢语,国家名,伊比利亚·葡语域,Ibérie,语言学推拟·中,FFE9DDF6
