泰拉时间,事件,确定性,来源,审查状态,审查备注
9世纪以前（确年未明）,拉特兰一位枢机受“酒神”影响发动危及全城的宗教政变。,剧情直证，年代为年表归类,https://prts.wiki/w/泰拉年表 | https://prts.wiki/w/AD-8,部分已核,时间精度待复核
1019,高卢末代皇帝科西嘉一世加冕，高卢进入鼎盛与扩张期。,官方设定年表,https://prts.wiki/w/泰拉年表,待补来源,
11世纪20年代,克莱布拉松古堡建成。,藏品文本＋年表,https://prts.wiki/w/泰拉年表 | https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,待补来源,
1059,蓝卡坞影星玛丽安娜·布莱克宣布息影。,剧情直证,https://prts.wiki/w/泰拉年表,部分已核,
11世纪60年代,一次蓝卡坞学院奖丑闻使格蕾塔·斯通改名并用十年重返业界。,剧情直证，具体年份未明,https://prts.wiki/w/泰拉年表,部分已核,时间精度待复核
1095,格蕾塔与斯蒂芬在蓝卡坞片场拍片，演员劳拉坠亡；事故被压下并编入电影。,剧情直证,https://prts.wiki/w/泰拉年表,部分已核,
1100以前，确日未明,傀影因旧日记忆前往克莱布拉松并失踪；罗德岛小队进入古堡，将其救回。,剧情先后关系，可确定上限,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Synopsis | https://prts.wiki/w/傀影与猩红孤钻,待补来源,时间精度待复核
1100年初,萨尔贡与米诺斯正式建交；帕拉斯返回雅赛努斯，倡议重建第一神殿。,剧情直证,https://prts.wiki/w/泰拉年表 | https://arknights.wiki.gg/wiki/Medjehtiqedti_Bound,部分已核,
1100,《红丝绒》：卢西恩在蓝卡坞追索酒神，最终击败旧酒神并继承其位置，猩红剧团被解散重组。,剧情直证＋年表归纳,https://prts.wiki/w/泰拉年表 | https://prts.wiki/w/红丝绒,部分已核,
1100年8月,拉普兰德前往新沃尔西尼。,剧情直证,https://prts.wiki/w/泰拉年表,部分已核,
1100年9月,莱塔尼亚第二十三次女皇庆典及巫王高塔事件。,剧情直证,https://prts.wiki/w/泰拉年表,部分已核,
1100年秋,萨尔贡使团抵达雅赛努斯，第一神殿竣工并进行文物交换。,剧情直证,https://prts.wiki/w/泰拉年表 | https://arknights.wiki.gg/wiki/Medjehtiqedti_Bound,部分已核,
