分区,子分组,鹰角中文,鹰角英文,鹰角其他语言,Yostar日文,Yostar英文,空缺说明,来源
基础设定,,源石,Originiums,-,源石（オリジニウム）,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
基础设定,,源石技艺,Originium Arts,-,アーツ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
基础设定,,感染者,Infected,-,感染者,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
基础设定,,矿石病,Oripathy,-,鉱石病（オリパシー）,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
基础设定,,移动城市,Nomadic City,-,移動都市,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,泰拉,Terra,-,テラ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,炎,Yan,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,百灶,Baizao,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,龙门,Lungmen,-,龍門,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,尚蜀,Shangshu,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,玉门,Yumen,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,哥伦比亚,Columbia,-,クルビア,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,麦克斯哥伦比亚特区,"Max, District of Columbia",-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,提卡伦多,Tkaronto,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,特里蒙,Trimounts,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,达维镇,Davistown,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,东,Higashi,-,極東,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,锁川,Kusarikawa,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,御机,Mitsukue,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,卡西米尔,Kazimierz,-,カジミエーシュ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,卡瓦莱利亚基,Kawalerielki,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,谢拉格,Kjerag,-,イェラグ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,拉特兰,Laterano,-,ラテラーノ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,莱塔尼亚,Leithanien,-,リターニア,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,沃伦姆德,Wolumonde,-,ウォルモンド,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,维谢海姆,Vyseheim,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,崔林特尔梅,Zwillingstürme,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,雷姆必拓,Rim Billiton,-,レム・ビリトン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,终极大铁屯,Ultramassive,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,萨米,Sami,-,サーミ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,米诺斯,Minos,-,ミノス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,雅赛努斯,Athenus,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,科林尼亚,,-,コリニア,-,鹰角英文待补或未出现；鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,荷谟伊,Hymnoi,-,ヒュムノイ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,玻利瓦尔,Bolívar,-,ボリバル,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,大辛德拉卡托,Gran Sinderacato,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,拉乌尼达,La Unidad,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,多索雷斯/双日城,Dossoles,-,ドッソレス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,萨尔贡,Sargon,-,サルゴン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,沙尔-阿加德,Shar-Agade,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,瓦伊凡,Vyvern,-,ワイバーン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,长泉镇,Long Spring,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,阿卡胡拉,Acahualla,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,叙拉古,Siracusa,-,シラクーザ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,蒙特卢佩,Montelupe,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,沃尔西尼,Volsinii,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,乌萨斯帝国/乌萨斯,Ursus,Урсус Империя,ウルサス,-,悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,圣骏堡,Deity Grypherburg,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,切尔诺伯格,Chernobog,Чернобог,チェルノボーグ,-,悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,维多利亚帝国/维多利亚,Victoria Empire/Victoria,-,ヴィクトリア,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,塔拉,Tara,-,ターラー,Tara,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
地名,,伦蒂尼姆,Londinium,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,多伦郡,Toron County,-,ドルン,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,小丘郡,County Hillock,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,卡拉顿,Caladon,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,克莱布拉松,Celaiblason,-,-,Calais-Blason,鹰角其他语言不适用；悠星日文不适用,https://prts.wiki/w/泰拉词库
地名,,汐斯塔,Siesta,-,シエスタ,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,卡兹戴尔,Kazdel,-,カズデル,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,伊比利亚王国/伊比利亚,Iberia,Reino de Iberia,イベリア,-,悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,佩尔多尼,Perdoni,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,格兰法洛,Gran Faro,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,阿戈尔,Ægir,-,エーギル,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,杜林,Durin,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,际崖城,Zeruertza,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,阿加门,Agamem,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,高卢,Gaul,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,林贡斯,Lingones,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,骏鹰王国,Hippogryphic Kingdom,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,焚风热土,Foehn Hotlands,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,因非冰原,Infy Icefield,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,科罗萨主矿脉,Kolossal Prime Vain,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,璟屿主矿脉,Jingyu Prime Vain,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
地名,,塔尔干主矿脉,Targanglis Prime Vain,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,罗德岛/罗德岛制药公司,Rhodes Island/Rhodes Island Pharmaceutical Inc.,-,ロドス,-,鹰角其他语言不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,罗德岛-精英干员,Rhodes-Elite Op,-,エリートオペレーター,Rhodes Island-Elite Operator,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,行动组A4,Op Team A4/ Operations Detachment Alpha 4,-,行動隊A4,Op Team A4,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,行动预备组A1,Re-Op Team A1/ Operations Preparation Detachment Alpha 1,-,行動予備隊A1,Reserve Op Team A1,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,行动预备组A4,Re-Op Team A4/ Operations Preparation Detachment Alpha 4,-,行動予備隊A4,Reserve Op Team A4,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,行动预备组A6,Re-Op Team A6/ Operations Preparation Detachment Alpha 6,-,行動予備隊A6,Reserve Op Team A6,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,S.W.E.E.P,S.W.E.E.P,-,-,-,鹰角其他语言不适用；悠星日文不适用；悠星英文不适用,https://prts.wiki/w/泰拉词库
组织,,巴别塔,Babel,-,バベル,Babel,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,深海猎人,Abyssal Hunters,-,アビサルハンター,Abyssal Hunters,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,黑钢国际,BSW/Blacksteel Worldwide,-,BSW,Blacksteel Worldwide,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
组织,,格拉斯哥帮,Glasgow,-,グラスゴー,Glasgow,鹰角其他语言不适用,https://prts.wiki/w/泰拉词库
