来源编号,URL,渠道,服务范围,证据级别,抓取或复核日期
source-001,https://arknights.wiki.gg/wiki/%C3%86gir,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-002,https://arknights.wiki.gg/wiki/Acahualla,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-003,https://arknights.wiki.gg/wiki/Act_or_Die,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-004,https://arknights.wiki.gg/wiki/Amber_(guitar),wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-005,https://arknights.wiki.gg/wiki/Archetto/Story,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-006,https://arknights.wiki.gg/wiki/Athenius,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-007,https://arknights.wiki.gg/wiki/Bagpipe/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-008,https://arknights.wiki.gg/wiki/Baizao,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-009,https://arknights.wiki.gg/wiki/Bassline/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-010,https://arknights.wiki.gg/wiki/Birch_(guitar),wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-011,https://arknights.wiki.gg/wiki/Bladedance,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-012,https://arknights.wiki.gg/wiki/Bol%C3%ADvar,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-013,https://arknights.wiki.gg/wiki/Caladon,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-014,https://arknights.wiki.gg/wiki/Calais-Blason,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-015,https://arknights.wiki.gg/wiki/Cantabile/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-016,https://arknights.wiki.gg/wiki/Category:Event_currencies,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-017,https://arknights.wiki.gg/wiki/Category:Il_Siracusano,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-018,https://arknights.wiki.gg/wiki/Chernobog,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-019,https://arknights.wiki.gg/wiki/Click/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-020,https://arknights.wiki.gg/wiki/Columbia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-021,https://arknights.wiki.gg/wiki/County_Hillock,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-022,https://arknights.wiki.gg/wiki/Crimson_Troupe,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-023,https://arknights.wiki.gg/wiki/Crimson_Troupe_Ticket_Stub,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-024,https://arknights.wiki.gg/wiki/Czerny/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-025,https://arknights.wiki.gg/wiki/Dahuang,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-026,https://arknights.wiki.gg/wiki/Dark_Cloud,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-027,https://arknights.wiki.gg/wiki/Dark_Steel,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-028,https://arknights.wiki.gg/wiki/Davistown,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-029,https://arknights.wiki.gg/wiki/Deity_Grypherburg,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-030,https://arknights.wiki.gg/wiki/Dewville,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-031,https://arknights.wiki.gg/wiki/Dossoles,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-032,https://arknights.wiki.gg/wiki/Durin,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-033,https://arknights.wiki.gg/wiki/Dzwonek,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-034,https://arknights.wiki.gg/wiki/Ebenholz/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-035,https://arknights.wiki.gg/wiki/Erato/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-036,https://arknights.wiki.gg/wiki/Eye_of_Iberia,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-037,https://arknights.wiki.gg/wiki/Eyjafjalla_the_Hv%C3%ADt_Aska/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-038,https://arknights.wiki.gg/wiki/FEater/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-039,https://arknights.wiki.gg/wiki/Figurino,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-040,https://arknights.wiki.gg/wiki/Figurino/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-041,https://arknights.wiki.gg/wiki/Firewatch/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-042,https://arknights.wiki.gg/wiki/Frostleaf/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-043,https://arknights.wiki.gg/wiki/Galer%C3%ADa_Krysztauowa,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-044,https://arknights.wiki.gg/wiki/Galer%C3%ADa_Krysztauowa_%28furniture_theme%29,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-045,https://arknights.wiki.gg/wiki/Galleria_Stellaria,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-046,https://arknights.wiki.gg/wiki/Garden_of_Grotesqueries,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-047,https://arknights.wiki.gg/wiki/Gaul,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-048,https://arknights.wiki.gg/wiki/Gladiia/File,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
source-049,https://arknights.wiki.gg/wiki/Gracebearer,wiki.gg,国际服英文资料转录,Wiki转录；本地化词形可信，编辑性结论须另核,2026-08-15
