书写/显示语言,目标语言槽位,词形,逐格依据,原填充色
Ægirian · 阿戈尔语,阿戈尔语,Ægirian,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,玻利瓦尔语,Lingua Bolívar,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,哥伦比亚语,Lingua Columbia,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,杜林语,Lingua Durin,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,高卢语,Lingua Gaul,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,东国语,Lingua Higashi,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,伊比利亚语（西语型）,Lingua Iberia,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,伊比利亚语（葡语型）,Lingua Iberia,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,卡兹戴尔语,Lingua Kazdel,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,卡西米尔语,Lingua Kazimierz,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,谢拉格语,Lingua Kjerag,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,拉特兰语,Lingua Laterano,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,莱塔尼亚语,Lingua Leithanien,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,龙门话,Lingua Lungmen,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,米诺斯语,Lingua Minos,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,梦魇语,Lingua Nightzmora,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,雷姆必拓区域语体,Lingua Rim Billiton,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,萨米诸语言,Lingua Sami,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,萨尔贡诸语言,Lingua Sargon,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,汐斯塔克里奥尔语,Lingua Siesta,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,叙拉古语,Lingua Siracusa,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,塔拉语,Lingua Tara,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,乌萨斯语,Lingua Ursus,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,维多利亚语,Lingua Victoria,待人工审核：拉丁式礼仪候选,FFF5CBCB
Ægirian · 阿戈尔语,炎语,Lingua Yan,待人工审核：拉丁式礼仪候选,FFF5CBCB
Bolivariano · 玻利瓦尔语,阿戈尔语,aegiriano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,玻利瓦尔语,multilingüe: iberiano bolivariano / victoriano / leithaniano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,哥伦比亚语,columbiano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,杜林语,duriniano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,高卢语,galo,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,东国语,higashiano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,伊比利亚语（西语型）,iberiano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,伊比利亚语（葡语型）,iberiano · 葡语型,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,卡兹戴尔语,kazdeliano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,卡西米尔语,kazimierziano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,谢拉格语,kjeraguiano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,拉特兰语,laterano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,莱塔尼亚语,leithaniano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,龙门话,lungmenés,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,米诺斯语,minoico,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,梦魇语,nightzmorano,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,雷姆必拓区域语体,lengua común de Rim Billiton,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,萨米诸语言,lenguas sami,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,萨尔贡诸语言,dialectos sargonianos,语言学推拟·中,FFE9DDF6
