编号,类别,中文,组合,效果,出现条件,来源,状态
H-01,基础,迷茫,,本层地图扩大；节点长度+2（含额外1个战斗节点），最大分支数+1。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-02,基础,盲目,,只能看见下一步节点类型；远端节点成为迷雾且无法查看，因此战斗结算后不会出现剧目。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-03,基础,暴怒,,本层作战更频繁。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-04,基础,孤独,,招募4星及以上干员希望消耗+1，进阶希望消耗-1。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-05,基础,偏执,,每前进1节点额外获得1源石锭；离层后最多保留进入本层时的数量。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-06,基础,敏感,,目标生命的失去与获得效果翻倍；不作用于临时生命。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-07,基础,臆想,,所有敌方单位攻击、防御、生命提升至110%。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-08,基础,生存,,非领袖敌人与我方单位持续受真实伤害，同时攻击力与攻速大幅提高。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-09,基础,谨慎,,本层可同时部署人数-1，可携带干员+1。,常规调查随机,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-10,追加,狂乱,,进入只含不期而遇的同名额外区域；离开后回到原层并获得一份剧作家手稿。,正式调查·8+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-11,追加,焦虑,,临时生命+5；敌人移动速度提升至200%。,正式调查·8+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-12,追加,痴愚,,战斗后与古堡馈赠获得的藏品可能被替换，特定叙事藏品也在替换范围。,正式调查·8+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-13,追加,颓废,,技力回复速度-80%，技力消耗-70%，初始技力+15。,正式调查·8+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-14,融合,慎敏症,敏感＋谨慎,敌人出现后50秒内攻击力逐步提升，最高+50%。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-15,融合,迷执症,迷茫＋偏执,商店定价+50%，商品品质提升。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-16,融合,慎想症,谨慎＋臆想,我方再部署时间+100%，生命+100%，防御+100%。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-17,融合,怒想症,暴怒＋臆想,紧急作战出现按层级追加的新敌人。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-18,融合,偏敏症,偏执＋敏感,获得源石锭变为2倍；损失关卡生命时损失等量源石锭。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-19,融合,怒盲症,暴怒＋盲目,进入战斗节点时关卡生命-1（最低保留1），源石锭+2。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
H-20,融合,慎存症,谨慎＋生存,敌人出场和我方部署时冰冻10秒。,正式调查·11+,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简中玩法文本
