分区,组织,中文,日本語,English,空缺说明,来源
角色／其他角色,罗德岛,博士,Doctor/Dr.,ドクター,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,可露希尔,Closure,クロージャ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,PRTS 原生罗德岛终端服务,PRTS/P.R.T.S/ Primitive Rhodes Island Terminal Service,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Ace 王牌,Ace,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Scout 斥候,Scout,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,西蒙娜,Simone,シモーネ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Sharp 锋刃,Sharp,シャープ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Stormeye 风暴眼,Stormeye,ストームアイ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Pith 术髓,Pith,ピス,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,Touch 触痕,Touch,タッチ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,罗德岛,郁金香,Tulip,チューリップ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,塔露拉,Talulah,タルラ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,弑君者,Crownslayer,クラウンスレイヤー,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,浮士德,Faust,ファウスト,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,梅菲斯特,Mephisto,メフィスト,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,霜星,Frostnova,フロストノヴァ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,爱国者,Patriot,パトリオット,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,整合运动,碎骨,Skullshatterer,スカルシュレッダー,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,巴别塔,特蕾西娅,Theresia,テレジア,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,阿伦茨·帕尔维斯,Ahrens Parvis,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,斐尔迪南·克鲁尼,Ferdinand Clooney,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,克丽斯腾·莱特,Kristen Wright,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,小贾斯汀·菲茨罗伊,Justin Fitzroy Jr.,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,娜斯提·鲁诺瑞伊,Nasti Lunorey,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,雅拉·B·威尔森,Jara B. Wilson,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,莱茵生命,安德涅特·马里亚姆,Andenate Maryam,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,黑钢国际,珍妮特·朗费罗,Janet Longfellow,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,汐斯塔,克洛宁,Cronin,クローニン,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,汐斯塔,赫尔曼·道尔科斯,Herman Dolcos,ヘルマン,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,汐斯塔,芭芭拉·道尔科斯,,,日文待补或未出现；英文待补或未出现,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,汐斯塔,恶魔破坏龙,Destructive Dragon Demon/D.D.D.,デストラクティブ・ドラゴン・デーモン（悪魔破壊竜）,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,汐斯塔,Alty,Alty,-,日文不适用,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,魏彦吾,Wei Yenwu,ウェイ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,文月,Fumizuki,フミヅキ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,米莎,Misha,ミーシャ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,阿发,Ah Faat,ファー,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,卡彭,Capone,カポネ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,甘比诺,Gambino,ガンビーノ,,该分表未区分鹰角与悠星列；按页面原列名保存
角色／其他角色,龙门,董阿伯,Uncle Tung,董のおじさん,,该分表未区分鹰角与悠星列；按页面原列名保存
