编号,中文,English,日本語,剧情/剧务信息,三语覆盖,来源,审查状态
006,被撬开的道具箱,Pried Open Toolbox,こじ開けられた道具箱,剧团道具师的箱子，从顶针到道具假人俱全；机制为希望 +4,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
007,古旧乐谱残章,Antiquated Sheet Music,古い楽譜の残片,模糊音符留在残损乐谱上，曲子所述故事已不可辨；希望 +4,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
008,解约协议,Letter of Termination Contract,解約合意書,只差一个签名便可彻底离开剧团；希望 +4,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
009,万能钥匙,Universal Key,マスターキー,剧团管家的银钥匙，暗示可打开所有秘密,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
012,演员的首饰盒,Actor's Jewelry Box,劇団員の小物入れ,破损珠宝曾由年轻主演佩戴；她后来从最高处跃下,CN≠JP；日文更泛化为团员小物盒,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
029,猩红剧团票根,Crimson Troupe Ticket Stub,クリムゾン劇団の半券,无演出名与表演者姓名；战斗后有 25% 概率额外掉落招募券；国际服条目名与说明、实装票面均认证 `CRIMSON TROUPE`,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
031,假面舞会面具,Masquerade Mask,仮面舞踏会のマスク,以“尊敬的客人”迎接观众并保证演出令人难忘,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
050,作者的喉舌,Writer's Tongue,劇作家の喉舌,剧作家以血蘸笔，并在火焰中写下自己的死亡,CN≠EN↔JP；中文“作者”范围更宽,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
052,“黑夜呢喃”,“The Whisperer in Darknight”,「闇に囁くもの」,黑色唱片带有明确的“不要触碰”危险感,CN≠EN≠JP；均应保留各服专名,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
072,“璀璨悲泣”,Brilliant Lament,「きらめく悲泣」,与血仍在流淌、某人从未真正离开相连,CN↔EN↔JP,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Collectibles,已核
