起点,关系,终点,时间范围,内容应用意义
高卢,历史领土,克莱布拉松,高卢灭亡前后,解释法式地名、旧帝国遗物和剧团审美来源
维多利亚,现行管辖,克莱布拉松,现代,售票地址、许可和媒体稿应使用维多利亚行政语境
克莱布拉松,包含,林中古堡,11世纪20年代后,古堡不是抽象梦境：它有建造、战争、弃置和改造履历
林中古堡,被改造为舞台,猩红剧团,现代前期,官网可展示管家、仓储、暗道、舞台改造和演员排期
猩红剧团,收养并训练,卢西恩,童年,组织同时提供艺术教育、归属与控制，不能只写成邪教标签
卢西恩,罗德岛代号,傀影,罗德岛时期,公开演员页与秘密档案可使用两个身份层
暮落,旧团幸存者/前成员,猩红剧团,过去,可提供幸存者视角，但不应被写成自愿回归
罗德岛搜救队,救回,傀影,1100以前,“舞会终场”是后续剧情采用的结果；其他结局保留为游戏分支
No.029 票根,直接写出,Crimson Troupe,藏品记录,英文站名、票面和结构化数据统一使用该词形
No.006 道具箱,证明岗位存在,道具师,旧团时期,可建立道具库存、借用、损坏和封存系统
No.008 解约协议,证明关系存在,演员合同,旧团时期,可作为旧团合同和剧务历史的内容依据；不因此把静态“加入我们”实现为申请流程
No.009 万能钥匙,指向,剧团管家与暗门,旧团时期,可作为待审彩蛋或隐藏导航的内容依据；不得作为 M3 历史网站的访问锁，只有单独 journey 获批后才能进入实现
No.031 假面舞会面具,面向,尊贵观众,旧团时期,支持贵宾迎宾、着装要求和舞会售票表层
酒神的印记,连接,艺术、控制与死亡,跨时代,Logo 可从品牌标志逐步转化为权限和精神影响装置
剧作家手稿,改写,国家历史,跨时代,四国手稿适合做会覆盖新闻页的“剧本污染”
蓝卡坞,提供新媒介,电影工业,1095—1100,《红丝绒》把舞台控制扩展到摄影棚、剪辑、特效和演员工业
1095片场事故,导致/被利用,1100复仇电影,五年后,可做时间轴、事故报告和被改写的影片版本
卢西恩,继承,酒神位置,1100,网站可出现新审美，但不能把“旧团正常延续”写成事实
雅赛努斯,首都属于,米诺斯,1100,英雄史诗、街头剧场、神殿与外交活动提供同期文化参照
崔林特尔梅,首都属于,莱塔尼亚,1100,音乐制度与政治危机并存，巡演应有取消/审查状态
龙门币,充当,跨境结算工具,现代,虚拟票价可用 LMD，但不据此虚构真实汇率
地域配置选择器,使用,国家实体名称,网站层,每项配置同时切换现实文本语言、世界内语言身份、国家路径和当地币种；研究用语言自称只在证据或编辑预览中单独展示
MediaWiki 自称规则,要求,唯一、可识别、通常省略“语言”,设计规范,候选名可大胆构词，但必须解释词干、语法与语体
泰拉纪年,约束,巡演可用状态,网站层,城市战争、移动和政权变化应影响场次是否可售、延期或仅归档
