泰拉时间,世界事件,与剧团关系,同期世界,审查状态
9世纪以前（确年未明）,拉特兰一位枢机受“酒神”影响发动危及全城的宗教政变。,证明酒神的活动跨越漫长历史，也能介入宗教与政治。,这一时期还处于早期结晶纪元；不要把事件写成现代猩红剧团新闻。,已核
1019,高卢末代皇帝科西嘉一世加冕，高卢进入鼎盛与扩张期。,为旧高卢审美、帝国记忆和剧团遗物提供时代底色。,同年哥伦比亚独立战争结束。,已核
11世纪20年代,克莱布拉松古堡建成。,古堡后来成为猩红剧团舞台与《傀影与猩红孤钻》主要空间。,高卢仍存；此时古堡尚不能直接写成猩红剧团总部。,已核
1059,蓝卡坞影星玛丽安娜·布莱克宣布息影。,《红丝绒》把旧电影史与酒神的长期审美干预连接起来。,蓝卡坞电影工业已有成熟明星与发布会文化。,已核
11世纪60年代,一次蓝卡坞学院奖丑闻使格蕾塔·斯通改名并用十年重返业界。,建立《红丝绒》制片人履历和蓝卡坞行业记忆。,同期哥伦比亚开始深入萨米；世界正加速商业扩张。,已核
1095,格蕾塔与斯蒂芬在蓝卡坞片场拍片，演员劳拉坠亡；事故被压下并编入电影。,1100 年《杜邦夫人之死》的复仇与酒神介入由此发生。,同年米诺斯与萨尔贡最后一场大战结束。,已核
1100以前，确日未明,傀影因旧日记忆前往克莱布拉松并失踪；罗德岛小队进入古堡，将其救回。,《傀影与猩红孤钻》的正史结果采用“舞会终场”；旧剧团遭到重创。,这是《红丝绒》前置事件，但资料未给出精确年月。,已核
1100年初,萨尔贡与米诺斯正式建交；帕拉斯返回雅赛努斯，倡议重建第一神殿。,雅赛努斯、英雄戏剧和跨国和解可成为剧团同期世界新闻。,米诺斯刚结束长期战争，城市欢迎客人但仍排斥萨尔贡人。,已核
1100,《红丝绒》：卢西恩在蓝卡坞追索酒神，最终击败旧酒神并继承其位置，猩红剧团被解散重组。,官网必须选择旧团快照、古堡残响或新酒神重组后的时间层。,同年“愚人号”事件发生，伊比利亚与阿戈尔线剧烈推进；仅为同期，不表示因果。,已核
1100年8月,拉普兰德前往新沃尔西尼。,叙拉古城市更新与电影/家族政治可进入同期巡演新闻。,与《红丝绒》同年，无已知直接因果。,已核
1100年9月,莱塔尼亚第二十三次女皇庆典及巫王高塔事件。,同年莱塔尼亚演出市场不适合被写成普通稳定巡演环境；可做取消/改期公告。,黑键、薇薇安娜、费德里科卷入事件。,已核
1100年秋,萨尔贡使团抵达雅赛努斯，第一神殿竣工并进行文物交换。,适合“国际文化交流季”“英雄史诗复排”或客座演出背景。,这是萨尔贡—米诺斯关系改善的后续。,已核
