简体中文,English,日本語,记录说明
阿戈尔语,Aegirian,エーギル語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
玻利瓦尔语,Bolivarian,ボリバル語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
哥伦比亚语,Columbian,クルビア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
杜林语,Durish,ドゥリン語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
高卢语,Gaulish,ガリア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
东国语,Higashinese,極東語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
伊比利亚语（西语型）,Iberian,イベリア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
伊比利亚语（葡语型）,Iberian,イベリア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
卡兹戴尔语,Kazdelian,カズデル語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
卡西米尔语,Kazimierzian,カジミエーシュ語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
谢拉格语,Kjeragi,イェラグ語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
拉特兰语,Lateran,ラテラーノ語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
莱塔尼亚语,Leithanian,リターニア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
龙门话,Lungmenite,龍門語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
米诺斯语,Minoan,ミノス語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
梦魇语,Nightzmoran,ナイツモラ語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
雷姆必拓区域语体,Rim Billiton usage,レム・ビリトン共通語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
萨米诸语言,Sami languages,サーミ諸語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
萨尔贡诸语言,Sargonian languages,サルゴン諸語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
汐斯塔克里奥尔语,Siestan Creole,シエスタ・クレオール,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
叙拉古语,Siracusan,シラクーザ語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
塔拉语,Taran,ターラー語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
乌萨斯语,Ursine,ウルサス語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
维多利亚语,Victorian,ヴィクトリア語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
炎语,Yanese,炎語,三语名称来自原资料表；创作短标签、现实语言参照和推拟依据另见 docs/content/03_localization/01_泰拉语域方案.csv
