书写/显示语言,目标国家槽位,词形,逐格依据,原填充色
Ægirian · 阿戈尔语,阿戈尔,Ægir,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,玻利瓦尔,Bolívar,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,哥伦比亚,Columbia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,杜林,Durin,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,高卢,Gaul,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,东,Higashi,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,伊比利亚·西语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,伊比利亚·葡语域,Iberia,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,卡兹戴尔,Kazdel,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,卡西米尔,Kazimierz,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,谢拉格,Kjerag,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,拉特兰,Laterano,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,莱塔尼亚,Leithanien,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,龙门,Lungmen,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,米诺斯,Minos,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,梦魇,Nightzmora,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,雷姆必拓,Rim Billiton,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,萨米,Sami,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,萨尔贡,Sargon,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,汐斯塔,Siesta,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,叙拉古,Siracusa,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,塔拉,Tara,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,乌萨斯,Ursus,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,维多利亚,Victoria,待人工审核：保留国际服专名作为回退,FFF5CBCB
Ægirian · 阿戈尔语,炎,Yan,待人工审核：保留国际服专名作为回退,FFF5CBCB
Bolivariano · 玻利瓦尔语,阿戈尔,Ægir,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,玻利瓦尔,Bolívar,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,哥伦比亚,Columbia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,杜林,Durin,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,高卢,Galia,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,东,Higashi,语言学推拟·中,FFE9DDF6
Bolivariano · 玻利瓦尔语,伊比利亚·西语域,Iberia,语言学推拟·中,FFE9DDF6
