分区,中文,English,日本語,说明,来源
杂项,明日方舟,Arknights,アークナイツ,-,
杂项,法杖,wand/Arts staff/staff,アーツロッド/アーツユニット,-,
杂项,咪波,Meeboo,ミーボ,梅尔制造的线控机械装置。,
杂项,西绪福斯,Sisyphus,シーシュポス,莱茵生命出品的机械装置。,
杂项,柯克西卡,Kirkika,ココシュカ,莱茵生命出品的机械装置。,
杂项,罗德岛基建,R.I.I.C/ Rhodes Island Infrastructure Complex,-,-,日文不适用
杂项,驮兽,Burdenbeast,-,-,日文不适用
杂项,瘤兽,Cystybeast,-,-,日文不适用
杂项,沙地兽,Sandbeast,-,-,日文不适用
杂项,裂兽,Manglerbeast,-,-,日文不适用
杂项,钳兽,Gloompincer,-,-,日文不适用
杂项,云兽,Cloudbeast,-,-,日文不适用
杂项,循兽,Beckbeast,-,-,日文不适用
杂项,鼷兽,Musbeast,-,-,日文不适用
杂项,海嗣/恐鱼,Sea Terror/Seaborn,-,-,日文不适用
杂项,四国战争,War of the Four Nations,-,-,日文不适用
杂项,大叛乱,The Great Rebellion,-,-,日文不适用
