世界内语言,规范技术标签,原内容项目标签,处理说明
阿戈尔语,x-ak-aegir,x-ak-aegirian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
玻利瓦尔语,x-ak-bolivar,x-ak-bolivarian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
哥伦比亚语,x-ak-columbia,x-ak-columbian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
杜林语,x-ak-durin,x-ak-durish,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
高卢语,x-ak-gaul,x-ak-gaulish,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
东国语,x-ak-higashi,x-ak-higashinese,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
伊比利亚语（西语型）,x-ak-iberia-es,x-ak-iberian-es,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
伊比利亚语（葡语型）,x-ak-iberia-pt,x-ak-iberian-pt,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
卡兹戴尔语,x-ak-kazdel,x-ak-kazdelian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
卡西米尔语,x-ak-kazimierz,x-ak-kazimierzian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
谢拉格语,x-ak-kjerag,x-ak-kjeragi,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
拉特兰语,x-ak-laterano,x-ak-lateran,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
莱塔尼亚语,x-ak-leithanien,x-ak-leithanian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
龙门话,x-ak-lungmen,x-ak-lungmenite,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
米诺斯语,x-ak-minos,x-ak-minoan,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
梦魇语,x-ak-nightzmora,x-ak-nightzmoran,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
雷姆必拓区域语体,x-ak-rim-billiton,x-ak-rim-victorian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
萨米诸语言,x-ak-sami,x-ak-sami,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
萨尔贡诸语言,x-ak-sargon,x-ak-sargonian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
汐斯塔克里奥尔语,x-ak-siesta,x-ak-siestan-creole,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
叙拉古语,x-ak-siracusa,x-ak-siracusan,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
塔拉语,x-ak-tara,x-ak-tengae,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
乌萨斯语,x-ak-ursus,x-ak-ursine,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
维多利亚语,x-ak-victoria,x-ak-victorian,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
炎语,x-ak-yan,x-ak-yanese,运行时以规范技术标签为准；原内容项目标签仅用于迁移期识别，不作为新内容入口
