键,简体中文,English,日本語,证据,说明
org.crimson_troupe,猩红剧团,Crimson Troupe,クリムゾン劇団,中英日游戏/国际服转录,英文机构主名
is2.title,傀影与猩红孤钻,Phantom & Crimson Solitaire,ファントムと緋き貴石,三服标题,主题名
ending.1,舞会终场,Crimson Finale,舞曲の終わり,三服游戏文本,语义差异照录
ending.2,滑稽喜剧,Ridiculous Comedy,奇妙な滑稽劇,三服游戏文本,语义差异照录
ending.3,盛大揭幕,Grand Opening,盛大なる開幕,三服游戏文本,语义差异照录
ending.4,沉默之章,Silent Chapter,声なき楽章,三服游戏文本,语义差异照录
collectible.029,猩红剧团票根,Crimson Troupe Ticket Stub,クリムゾン劇団の半券,三服游戏文本,实际票面另见图鉴
collectible.187,酒神的印记,Sigil of Tragodia,酒神のシンボル,三服游戏文本,英文使用专名 Tragodia
person.phantom,傀影,Phantom,ファントム,三服游戏文本,干员代号
person.lucian,卢西恩,Lucian,ルシアン,三服剧情文本,本名
person.shalem,暮落,Shalem,シャレム,三服游戏文本,干员代号
role.playwright,剧作家,Playwright,劇作家,三服游戏文本,组织岗位/敌人
role.mouthpiece,剧团喉舌,Troupe Mouthpiece,,中英游戏文本,日文待核
place.calais_blason,克莱布拉松,Calais-Blason,セライブラソン,三服资料转录,旧高卢边地
place.wrankwood,蓝卡坞,Wrankwood,,中英剧情转录,日文待核
event.red_velvet,红丝绒,Act or Die,緋染めのビロード,三服活动标题,语义差异照录
play.ode,凯旋颂,Ode au Triomphe,『凱旋の讃歌』,三服游戏文本,活页剧目
play.der_ring,湖中至宝,Der Ring,『湖中の至宝』,三服游戏文本,活页剧目
play.mother_wolf,七丘的狼母,Sette colli's Mother Wolf,『七丘の母狼』,三服游戏文本,活页剧目
track.crimson_solitaire,猩红孤钻,Crimson Solitaire,緋き貴石,中英官方OST/日服BGM转录,曲名
