中文,English,日本語,发行地/语境,性质,流通范围,证据,辅币/并列币种,参考汇率,来源,审查状态,审查备注
龙门币,Lungmen Dollar (LMD),龍門幣,龙门,法定货币／跨地区结算,广泛流通,物品说明与龙门地理材料均写到广泛使用和国际交易。,—,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/炎 | https://arknights.wiki.gg/wiki/Lungmen_Dollar,待补来源,不得从玩法价格推算汇率
哥元,Columbian dollar,,哥伦比亚,法定货币／外地接受,主要货币,玻利瓦尔、汐斯塔与南萨米材料可见哥伦比亚货币，企业影响扩大流通。,分,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/哥伦比亚 | https://arknights.wiki.gg/wiki/Columbia,待补来源,不得从玩法价格推算汇率
哥伦比亚金券,Columbian gold certificate,,哥伦比亚,货币工具／外地接受,主要工具,汐斯塔、南萨米及卡兹戴尔语境可见金券作为价格单位。,—,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/哥伦比亚 | https://arknights.wiki.gg/wiki/Siesta,待补来源,不得从玩法价格推算汇率
维多利亚磅,Victorian pound,,维多利亚,法定货币／外地接受,主要货币,汐斯塔旅游材料明确接受维多利亚磅。,便士,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/维多利亚 | https://arknights.wiki.gg/wiki/Siesta,待补来源,不得从玩法价格推算汇率
玻利瓦尔索尔,Bolivarian sol,,玻利瓦尔,法定货币,地区／阵营,阵营材料显示玻利瓦尔索尔与哥伦比亚货币并行接受。,分,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Bol%C3%ADvar,待补来源,不得从玩法价格推算汇率
弗洛林,Siracusan florin,,叙拉古,法定货币,地区,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/叙拉古 | https://arknights.wiki.gg/wiki/Siracusa,待补来源,不得从玩法价格推算汇率
杜卡特,Leithanian ducat,,莱塔尼亚,法定货币,地区,未找到广泛跨国流通证据。,塔勒（并列币种或单位）,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/莱塔尼亚 | https://arknights.wiki.gg/wiki/Leithanien,待补来源,不得从玩法价格推算汇率
莱塔尼亚塔勒,Leithanian thaler,,莱塔尼亚,法定货币,地区,未找到广泛跨国流通证据。,杜卡特（并列币种或单位）,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Leithanien,待补来源,不得从玩法价格推算汇率
马克,Kazimierzian mark,,卡西米尔,法定货币,地区,未找到广泛跨国流通证据。,赫勒,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/卡西米尔 | https://arknights.wiki.gg/wiki/Kazimierz,待补来源,不得从玩法价格推算汇率
卡西米尔赫勒,Kazimierzian heller,,卡西米尔,法定货币,地区,未找到广泛跨国流通证据。,马克,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Kazimierz,待补来源,不得从玩法价格推算汇率
谢拉格弗朗,Kjerag franc,,谢拉格,法定货币,地区,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/谢拉格 | https://arknights.wiki.gg/wiki/Kjerag,待补来源,不得从玩法价格推算汇率
点券,signa creditorum,,拉特兰,法定货币／记账单位,地区,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/拉特兰 | https://arknights.wiki.gg/wiki/Laterano,待补来源,不得从玩法价格推算汇率
切尔文,Ursine chervonets,,乌萨斯,法定货币,地区,简中地理称切尔文是乌萨斯常用货币之一。,帕拉,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/乌萨斯 | https://arknights.wiki.gg/wiki/Ursus,待补来源,不得从玩法价格推算汇率
乌萨斯帕拉,Ursine para,,乌萨斯,法定货币,地区,未找到广泛跨国流通证据。,切尔文,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Ursus,待补来源,不得从玩法价格推算汇率
多布隆,Iberian doblón,,伊比利亚,法定货币,地区,简中地理将多布隆列为伊比利亚法定货币。,雷亚尔,未发现官方参考汇率,https://prts.wiki/w/泰拉大典:地理/伊比利亚 | https://arknights.wiki.gg/wiki/Iberia,待补来源,不得从玩法价格推算汇率
伊比利亚雷亚尔,Iberian real,,伊比利亚,法定货币,地区,未找到广泛跨国流通证据。,多布隆,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Iberia,待补来源,不得从玩法价格推算汇率
萨尔贡第纳尔,Sargonian dinar,,萨尔贡,法定货币,地区,帝国广阔与多语格局不足以支持“全境统一流通”的强断言。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Sargon,待补来源,不得从玩法价格推算汇率
米诺斯斯塔特,Minoan stater,,米诺斯,法定货币,地区,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Minos,待补来源,不得从玩法价格推算汇率
东国小判,Higashi koban,,东国,法定货币,地区,未找到广泛跨国流通证据。,文,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Higashi,待补来源,不得从玩法价格推算汇率
东国文,Higashi mon,,东国,法定货币,地区,未找到广泛跨国流通证据。,小判,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Higashi,待补来源,不得从玩法价格推算汇率
炎国文,Yanese wen,,炎,法定货币,地区,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Yan,待补来源,不得从玩法价格推算汇率
雷姆必拓卡罗特,Rim Billiton karrot,,雷姆必拓,法定货币,地区／企业,未找到广泛跨国流通证据。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Rim_Billiton,待补来源,不得从玩法价格推算汇率
高卢里弗尔,Gaulish livre,,高卢,历史货币,历史,高卢已经灭亡。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Gaul,待补来源,不得从玩法价格推算汇率
萨米货币情况,No unified Sami currency,,萨米,未见统一货币,地区差异,南部贸易可接受哥伦比亚货币或金券。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Sami,待补来源,不得从玩法价格推算汇率
汐斯塔多币种接受,Siesta dual-currency acceptance,,汐斯塔,接受外币,多币并行,汐斯塔明确接受哥伦比亚金券与维多利亚磅。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Siesta,待补来源,不得从玩法价格推算汇率
卡兹戴尔物资交换,Kazdel barter/material exchange,,卡兹戴尔,物物交换／流通破碎,地区与时代差异,剧情语境出现物资价值和物物交换，也可见外来金券。,源石材料等,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Kazdel,待补来源,不得从玩法价格推算汇率
阿戈尔货币情况,Ægir currency not located,,阿戈尔,尚未定位,未知,未找到可靠货币字段。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/%C3%86gir,待补来源,不得从玩法价格推算汇率
杜林货币情况,Durin currency not located,,杜林,尚未定位,未知,未找到可靠货币字段。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Durin,待补来源,不得从玩法价格推算汇率
塔拉货币情况,Taran currency not located,,塔拉,尚未定位,未知,维多利亚政治语境不足以证明塔拉使用某种特定法币。,—,未发现官方参考汇率,https://arknights.wiki.gg/wiki/Tara,待补来源,不得从玩法价格推算汇率
至纯源石,Originite Prime,純正源石,游戏系统,游戏资源,玩家系统,源石具有世界观价值，但物品计数未被证明是居民日常法币。,—,不适用,https://arknights.wiki.gg/wiki/Originite_Prime,部分已核,
