国家槽位,语言,研究短标签,现实代理,近似读音,候选标识,依据级别,审查状态
阿戈尔,阿戈尔语,Ægirian,拉丁/英语命名层,/ˈeɪɡɪriən/（英语代理）,aegir,待人工审核,待人工审核
玻利瓦尔,玻利瓦尔语,Bolivariano,拉美西语型,/boliβaˈɾjano/,bolivar,语言学推拟·中,待母语审校
哥伦比亚,哥伦比亚语,Columbian,美式英语型,/kəˈlʌmbiən/,columbia,国际服词形,待母语审校
杜林,杜林语,Durinera,巴斯克式地名层,/duɾiˈneɾa/（巴斯克代理）,durin,待人工审核,待人工审核
高卢,高卢语,Gaulois,法语型,/ɡolwa/,gaul,语言学推拟·高,待母语审校
东,东国语,極東語,日语型,/kʲokɯtoːɡo/（日语代理）,higashi,日服词形/构词,待母语审校
伊比利亚·西语域,伊比利亚语（西语型）,Iberiano,西班牙语型,/iβeˈɾjano/,iberia-es,语言学推拟·高,待母语审校
伊比利亚·葡语域,伊比利亚语（葡语型）,Iberiano ocidental,葡萄牙语型,/iβeɾiˈɐnu ɔsidẽˈtaw/（葡语代理）,iberia-pt,待母语审校,待人工审核
卡兹戴尔,卡兹戴尔语,Kazdelian,闪语与流散语体复合,/kæzˈdɛliən/（英语代理）,kazdel,待人工审核,待人工审核
卡西米尔,卡西米尔语,Kazimierski,波兰语型,/kaʑiˈmjɛrskʲi/,kazimierz,语言学推拟·高,待母语审校
谢拉格,谢拉格语,Kjeragisk,挪威语/阿勒曼尼德语型,/ˈçɛːrɑːɡɪsk/（挪威语代理）,kjerag,语言学推拟·中,待母语审校
拉特兰,拉特兰语,Lateranensis,教会拉丁语/世界语型,/lateːraːˈneːnsis/（拉丁代理）,laterano,待母语审校,待人工审核
莱塔尼亚,莱塔尼亚语,Leithanisch,德语型,/ˈlaɪ̯taːnɪʃ/（德语代理）,leithanien,语言学推拟·高,待母语审校
龙门,龙门话,龍門話,粤语型,[lʊŋ˨˩ mʊːn˨˩ waː˨]（粤语代理）,lungmen,待母语审校,待人工审核
米诺斯,米诺斯语,Μινωικά,现代/古典希腊语型,/mino.iˈka/,minos,语言学推拟·高,待母语审校
梦魇,梦魇语,Найтзморан хэл,蒙古语型,[nɑit͡smɔrɑn xeɮ]（蒙古语代理）,nightzmora,待人工审核,待人工审核
雷姆必拓,雷姆必拓区域语体,Victorian (Rim Billiton),澳大利亚英语型,/vɪkˈtɔːriən/,rim-billiton,编辑语域,待母语审校
萨米,萨米诸语言,Sámegiella,环北极多语束,/ˈsaːmeˌkie̯lːa/（北萨米代理）,sami,待人工审核,待人工审核
萨尔贡,萨尔贡诸语言,لغات سارغون,阿拉伯语/波斯语及更多,/luɣaːt saːrɣuːn/（阿语代理）,sargon,待人工审核,待人工审核
汐斯塔,汐斯塔克里奥尔语,Kreyòl Siesta,克里奥尔语型,[kɣejɔl sjɛsta]（海地克里奥尔代理）,siesta,待人工审核,待人工审核
叙拉古,叙拉古语,Siracusano,意大利语型,/sirakuˈzano/,siracusa,语言学推拟·高,待母语审校
塔拉,塔拉语,Tengae,爱尔兰语型,官方读音未公布,tara,世界内直接词形,待母语审校
乌萨斯,乌萨斯语,Урсусский,俄语型,/ʊrˈsuskʲɪj/（俄语代理）,ursus,语言学推拟·高,待母语审校
维多利亚,维多利亚语,Victorian,英式英语型,/vɪkˈtɔːriən/,victoria,国际服词形,待母语审校
炎,炎语,炎文,汉语/汉字与多方言体系,[jɛn˧˥ wən˧˥]（普通话代理）,yan,简中词形/构词,待母语审校
