起点,关系,终点,时间范围,来源,审查状态
高卢,历史领土,克莱布拉松,高卢灭亡前后,https://prts.wiki/w/泰拉词库,待设定审查
维多利亚,现行管辖,克莱布拉松,现代,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Synopsis,待设定审查
克莱布拉松,包含,林中古堡,11世纪20年代后,https://prts.wiki/w/泰拉年表,待设定审查
林中古堡,被改造为舞台,猩红剧团,现代前期,https://prts.wiki/w/傀影与猩红孤钻,待设定审查
猩红剧团,收养并训练,卢西恩,童年,https://prts.wiki/w/序言组曲：猩红血钻,待设定审查
卢西恩,罗德岛代号,傀影,罗德岛时期,https://prts.wiki/w/傀影,待设定审查
暮落,旧团幸存者/前成员,猩红剧团,过去,https://prts.wiki/w/暮落,待设定审查
罗德岛搜救队,救回,傀影,1100以前,https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Synopsis,待设定审查
No.029 票根,直接写出,Crimson Troupe,藏品记录,https://arknights.wiki.gg/wiki/Crimson_Troupe_Ticket_Stub,待设定审查
No.006 道具箱,证明岗位存在,道具师,旧团时期,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,待设定审查
No.008 解约协议,证明关系存在,演员合同,旧团时期,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,待设定审查
No.009 万能钥匙,指向,剧团管家与暗门,旧团时期,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,待设定审查
No.031 假面舞会面具,面向,尊贵观众,旧团时期,https://arknights.wiki.gg/wiki/Masquerade_Mask,待设定审查
酒神的印记,连接,艺术、控制与死亡,跨时代,https://arknights.wiki.gg/wiki/Sigil_of_Tragodia,待设定审查
剧作家手稿,改写,国家历史,跨时代,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,待设定审查
蓝卡坞,提供新媒介,电影工业,1095—1100,https://prts.wiki/w/泰拉年表,待设定审查
1095片场事故,导致/被利用,1100复仇电影,五年后,https://prts.wiki/w/泰拉年表,待设定审查
卢西恩,继承,酒神位置,1100,https://prts.wiki/w/泰拉年表,待设定审查
雅赛努斯,首都属于,米诺斯,1100,https://arknights.wiki.gg/wiki/Medjehtiqedti_Bound,待设定审查
崔林特尔梅,首都属于,莱塔尼亚,1100,https://prts.wiki/w/泰拉年表,待设定审查
龙门币,充当,跨境结算工具,现代,https://arknights.wiki.gg/wiki/Lungmen_Dollar,待设定审查
泰拉纪年,约束,巡演可用状态,网站层,https://prts.wiki/w/泰拉年表,待设定审查
