语言,候选短标签,现实代理,当前级别,审查动作,发布限制
阿戈尔语,Ægirian,拉丁/英语命名层,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
杜林语,Durinera,巴斯克式地名层,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
伊比利亚语（葡语型）,Iberiano ocidental,葡萄牙语型,待母语审校,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
卡兹戴尔语,Kazdelian,闪语与流散语体复合,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
拉特兰语,Lateranensis,教会拉丁语/世界语型,待母语审校,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
龙门话,龍門話,粤语型,待母语审校,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
梦魇语,Найтзморан хэл,蒙古语型,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
雷姆必拓区域语体,Victorian (Rim Billiton),澳大利亚英语型,编辑语域,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
萨米诸语言,Sámegiella,环北极多语束,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
萨尔贡诸语言,لغات سارغون,阿拉伯语/波斯语及更多,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
汐斯塔克里奥尔语,Kreyòl Siesta,克里奥尔语型,待人工审核,母语译者核对音系、词法、大小写、书写方向与文化适切性,未审前只作内部候选
