类别,中文/称号,English,日本語,事实摘要,来源,审查状态
组织核心,旧酒神／旧剧团长,Tragodia,酒神,旧猩红剧团的审美与控制中心；“酒神”更接近可继承的位置/存在，而非普通艺名。,https://prts.wiki/w/红丝绒,部分已核
演员／继承者,卢西恩／傀影／猩红血钻,Lucian / Phantom,ルシアン／ファントム,旧团最受瞩目的演员；逃离后成为罗德岛干员，1100 年击败旧酒神并继承其位置。,https://prts.wiki/w/序言组曲：猩红血钻 | https://prts.wiki/w/泰拉年表,部分已核
演员／幸存者,暮落,Shalem,シャレム,旧团成员与幸存者；与卢西恩经历相关，但创伤路径不同。,https://prts.wiki/w/暮落,部分已核
同伴,Miss.Christine,Miss.Christine,ミス・クリスティーン,与傀影同行的菲林；在多条档案和结局中承担观察、揭示与陪伴功能。,https://prts.wiki/w/Miss.Christine,部分已核
报幕／执行,剧团喉舌,Troupe Mouthpiece,—,作为报幕人与执行者维持演出；与剧作家存在审美分歧。,https://arknights.wiki.gg/wiki/Troupe_Mouthpiece,部分已核
创作,剧作家,Playwright,劇作家,把现实悲剧写入剧本，手稿可指向维多利亚、乌萨斯、莱塔尼亚与高卢。,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,部分已核
导师,刀舞,Bladedance,「ブレイドダンス」,萨尔贡出身的舞者、战士与忠诚导师；傀影导师之一。,https://arknights.wiki.gg/wiki/Bladedance,部分已核
导师,白英花,Whiteflower,「ズルカマラ」,莱塔尼亚歌剧演员与社交操盘者；三服舞台专名差异明显。,https://arknights.wiki.gg/wiki/Whiteflower,部分已核
导师,影子,Shadow,「シャドウ」,叙拉古舞台魔术师，以幻象源石技艺著称。,https://arknights.wiki.gg/wiki/Shadow,部分已核
幕后岗位,剧团管家,Butler / steward,—,由万能钥匙、管家笔记和场地调配文件确认其岗位功能。,https://prts.wiki/w/傀影与猩红孤钻,部分已核
幕后岗位,道具师,Prop master,—,被撬开的道具箱包含从顶针到假人的完整工作物件。,https://prts.wiki/w/傀影与猩红孤钻/长生者宝盒,部分已核
外围电影人,格蕾塔·斯通／斯蒂芬·奎／莫伊拉,Greta Stone / Stephen Quay / Moira,—,属于蓝卡坞《红丝绒》电影事件，不是旧猩红剧团正式名册。,https://prts.wiki/w/红丝绒,部分已核
