编号,分组,标题,信息摘要,来源,语言,证据
E-01,主题贴士,猩红剧团,历史悠久的神秘艺术家团体兼云游剧团；悲剧上演时，现实悲剧也会随之到来。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-02,主题贴士,剧团长,极少在大众面前露面；报告称其名号及变体在千百年前已经存在。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-03,主题贴士,克莱布拉松地区,原高卢边境领地，战败后并入维多利亚；四国战争破坏严重，人口和生产凋敝。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-04,主题贴士,古堡,高卢贵族在林间斥资修建；贵族战死后荒废，近期被神秘团体占据。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-05,故事引言,追踪,罗德岛根据傀影最后讯息追踪到维多利亚境内的克莱布拉松。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-06,故事引言,入夜,外勤小队在雾林迷失，古堡成为唯一可见的过夜选择。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-07,故事引言,搜救背景,罗德岛已与傀影失联数周；搜救小队不知道自己将成为宏大戏剧的群演。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-08,背景文件,子爵请柬,102X年，高卢传统节日前，克莱布拉松子爵邀请宾客赴新建林地城堡参加宴席、烟火和云游剧团演出。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-09,探索文件,剧团传单,帐篷前传单直称“猩红剧团”，强调历史悠久、剧目优秀，并要求观众先阅读观演规则。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-10,探索文件,贵族会议,高卢准备对莱塔尼亚开战，维多利亚也有调兵迹象；当地贵族预征三年主要税赋。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-11,探索文件,征兵令,克莱布拉松须征召适龄男性前往西部军团，违令严惩。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-12,探索文件,子爵遗嘱,城堡被当作最后防线，暗藏财宝、粮食和武器，等待皇帝凯旋。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-13,探索文件,夫人梦呓,子爵夫人的临终意象把石头、羽毛、木料与祭品连在一起。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-14,探索文件,维多利亚接收草案,因抵抗和破坏严重，各公爵对克莱布拉松兴趣有限，先交邻接公爵代管。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-15,探索之外,剧团成员笔记,剧团从天灾与战争受害者中挑选“新芽”，将灾难人口视作演员原料。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-16,探索之外,地方月报,月报把艺术家进驻古堡写成采风、刺激经济和创作新剧目的正面新闻。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-17,探索之外,管家笔记,维多利亚接收者不知道城堡遍布暗道、密室、阁楼和宝藏。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-18,探索之外,新舞台布置,匿名剧团成员要求管家调配资源，称数月即可请主演上台。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-19,探索之外,重建规划,维多利亚当局准备开发长期衰败的克莱布拉松，邀请部门和商业组织参与。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
E-20,探索之外,罗德岛外勤报告,古堡带回物须先确认无危险，再由干员决定归属。,https://prts.wiki/w/傀影与猩红孤钻/猩红珍藏,简体中文,客户端文本经PRTS转录
