编号,中文,剧团岗位建议,推演把握,性质
cast-001,阿米娅,抒情场景的小提琴独奏或室内乐,中,创作推论
cast-002,空弦,歌手、宣传嘉宾、宗教与流行节目桥梁,高,创作推论
cast-003,风笛,团体合唱、民谣返场,低,创作推论
cast-004,止颂,大号首席、低铜声部、礼仪音乐统筹,高,创作推论
cast-005,晓歌,排练钢琴、乐池多面手、声乐指导伴奏,高,创作推论
cast-006,车尔尼,驻团作曲、指挥、排练钢琴、管风琴,高,创作推论
cast-007,黑键,大提琴首席、室内乐统筹、助理音乐总监,高,创作推论
cast-008,埃拉托,竖琴手、叙事者、词作与民俗顾问,高,创作推论
cast-009,纯烬艾雅法拉,安静幕间或公益场的木吉他,中,创作推论
cast-010,守林人,口琴独奏、森林民乐顾问,高,创作推论
cast-011,歌蕾蒂娅,精确形式舞蹈编导、阿戈尔表演顾问,中,创作推论
cast-012,聆音,合唱独唱、圣歌编曲、跨文化声乐研究,高,创作推论
cast-013,小满,竹笛、戏曲伴奏、田园间奏,高,创作推论
cast-014,紫野遥,演员歌手、宣传主角、影视转舞台嘉宾,高,创作推论
cast-015,爱丽丝,儿童日场叙述者、摇篮曲演唱,中,创作推论
cast-016,烈夏,青年摇滚组合节奏吉他候选,低,创作推论
cast-017,令,词作、诗性旁白、酒馆场景演唱,中,创作推论
cast-018,逻各斯,仪式合唱语音指导、发音顾问,中,创作推论
cast-019,傀影,男主演、戏剧歌者、剧团历史见证人,高,创作推论
cast-020,酒神,主演、作者型演员或叙事对抗者,高,创作推论
cast-021,PhonoR-0,声音档案、播放系统、合唱声部、幕间音乐,高,创作推论
cast-022,暮落,性格演员、替补、幸存者视角戏剧顾问,高,创作推论
cast-023,斯卡蒂,海歌与低声部候选、阿戈尔曲目传承者,中,创作推论
cast-024,空,主唱、歌舞嘉宾、观众关系,高,创作推论
cast-025,月禾,编舞、仪式舞顾问、动作训练,高,创作推论
cast-026,乌尔比安,作曲、海歌与合唱、实验声音戏剧,高,创作推论
cast-027,红豆,主音电吉他、摇滚前台,高,创作推论
cast-028,塑心,大提琴独奏、先锋音乐演出,高,创作推论
cast-029,蓝毒,员工义演吉他候选,低,创作推论
cast-030,讯使,节奏吉他或巡演后勤兼任候选,低,创作推论
cast-031,杜宾,员工义演节奏吉他候选,低,创作推论
cast-032,雷蛇,员工乐队电吉他候选,低,创作推论
cast-033,慕斯,咖啡馆或糕点活动木吉他候选,低,创作推论
cast-034,白金,现代舞台吉他候选,低,创作推论
cast-035,诗怀雅,赞助场嘉宾或吉他候选,低,创作推论
cast-036,卡达,排练摄像、短视频与幕后剪辑,高,创作推论
cast-037,稀音,制作摄影、档案整理、巡演纪录,高,创作推论
cast-038,年,舞台影像导演、投影设计、预告片制作,高,创作推论
cast-039,蒂比,电影组统筹、道具与布景联络、舞台改编制片,中,创作推论
cast-040,特克诺,木偶戏导演、物件剧场表演、社区艺术联络,高,创作推论
cast-041,食铁兽,动作指导、特技统筹、肢体演员,高,创作推论
cast-042,罗比菈塔,化妆主管、角色造型、快速换妆设计,高,创作推论
cast-043,裁度,服装打版、衣橱管理、巡演改衣,高,创作推论
cast-044,梓兰,服装概念、造型、前厅着装规范,中,创作推论
cast-045,海蒂,场刊编辑、对白顾问、剧作候选,中,创作推论
cast-046,骋风,赞助者、巡演安保、社区联络,中,创作推论
cast-047,艾丽妮,伊比利亚曲目研究、观众顾问,低,创作推论
cast-048,霜叶,歌单策划或员工 DJ 候选,低,创作推论
cast-049,绮良,酒吧歌单策划、非正式 DJ,中,创作推论
cast-050,丰川祥子,联动客座键盘与作曲,高,创作推论
cast-051,若叶睦,联动客座吉他,高,创作推论
cast-052,三角初华,联动客座主唱与吉他,高,创作推论
cast-053,八幡海铃,联动客座贝斯,高,创作推论
cast-054,祐天寺若麦,联动客座鼓手与媒体角色,高,创作推论
