类别,序号,中文,English,日本語,内容/规则,三语依据,来源,审查状态
活页剧目,,凯旋颂,Ode au Triomphe,『凱旋の讃歌』,普通：高卢皇帝凯旋颂；下一战获得 5 临时生命；猩红：入场先失 5，战后得 10,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,湖中至宝,Der Ring,『湖中の至宝』,普通：莱塔尼亚至宝、争斗与归湖；下一战源石锭 +50%；猩红：宝箱增值，但触碰会损生命,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,一百零一日,One Hundred and One Days,『百日一日物語』,普通：王酋最终发现故事源头早被自己处死；经验 +100%；猩红：若战斗失去生命，战后得随机收藏品,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,独行客,Lone Wander,『独り往く者』,普通：铁桶面具下的窥视、阴谋与疯狂；消费后获赠藏品；猩红：购入两件后得固定高价值特殊藏品,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,梦中奇缘,Wonderland in Dream,『夢の国の冒険譚』,普通：远方城堡与同伴；安全角落得招募券；猩红：先失 2 生命，换必含六星临时招募的券,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,霜牡与雪牝,Frost Deer and Snow Doe,『霜の牡鹿と雪の牝鹿』,普通：亲缘护卫与双生愿望；全员攻/生 +15%；猩红：攻 +30%，生命 -30%,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,赫里亚之辉,Light of Heria,『ヘリアの輝き』,普通：英雄越过赫里亚山援助米诺斯；紧急战获临时精英；猩红：出现新敌人，战后得藏品,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,七丘的狼母,Sette colli's Mother Wolf,『七丘の母狼』,普通：叙拉古规则与狼母；紧急战非首领减速；猩红：非首领生命翻倍，但减速更强,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,初晓,The Dawn,『曙光』,普通：光带唤醒城市与大地；不期而遇得 1 生命；猩红：概率得藏品，否则失 1 且剧目保留,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,金羽兽,The Golden Fowlbeast,『金色の羽獣』,普通：金羽、金卵的童谣；不期而遇得 3 锭；猩红：概率得 10 锭，否则失 1 且保留,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,狂野之金,Wild Gold,『ワイルドゴールド』,普通：资源越多越好；下一商店半价；猩红：价格在 -90% 至 +50% 间随机，每次购买重判,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,摇篮曲,The Lullaby,『子守り歌』,普通：清洁舒适的梦；下一安全角落收益翻倍；猩红：失去一半生命与源石锭，收益三倍,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
活页剧目,,欢欣鼓舞,The Carnival,『カーニバル』,普通：庆祝好运；减免下一幕间首次花销；猩红：先得 3 生命/希望/锭，结束时 50% 返还花费,中英日直接文本,https://prts.wiki/w/傀影与猩红孤钻/活页剧目 | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/Plays,部分已核
