编号,来源子池,问题,优先级,当前结论,下一步,状态,人工结论
review-002,继承问题,过往演出展览 41 项日文标题,中,已确认中英；未定位完整日服网页字符串。,检索日服 Web 资产或专题页静态资源。,待处理,
review-003,继承问题,萨米各具体语言自称,中,当前只能做语言簇入口。,按人物、部族和地区拆分，不制造全国标准语。,待处理,
review-004,继承问题,萨尔贡各地区自称,中,帝国内部多语，阿拉伯/波斯式总标签只是导航方案。,按王酋领、角色和活动建立地区语体。,待处理,
review-005,继承问题,拉特兰选择器主标签,低,Lateranensis、Laterano、Laterana 各有不同文体优势。,由网站最终视觉语体决定：教会拉丁优先或世界语优先。,待处理,
review-006,继承问题,伊比利亚两种语体的菜单区分,中,两个 Iberiano 会重名。,在页面架构确定地区或社会语体后命名变体。,待处理,
review-007,继承问题,部分地点日文名,中,简中进度领先时，日服尚无直接字段或检索不到。,按活动落地日服后逐字段补录。,待处理,
review-008,继承问题,猩红剧团重组后的组织形态,高,《红丝绒》确认解散重组与新酒神，但未给出完整现代组织架构。,网站明确标为“新酒神创作层”，不要伪称旧团连续营业。,待处理,
review-i18n-001,i18n,阿戈尔语是否存在可公开的世界内自称体系,高,当前只可使用 Ægirian 或拉丁式礼仪候选,检索客户端原文；由语言学与设定编辑联合裁定,待处理,
review-i18n-002,i18n,萨米/萨尔贡是否拆分为具体次区域语言,高,矩阵统一行仅作入口,先按具体场次和人物地域选择代理语言,待处理,
review-i18n-003,i18n,杜林、卡兹戴尔、汐斯塔、梦魇候选词形,高,已有规则候选但不可视为官译,母语审校并记录接受/拒绝理由,待处理,
review-place-001,地点,简中先行地点的 EN/JP 后续实装词形,中,保留中文直证，不提前固化工作译,随海外/日服进度复核,持续跟踪,
review-crimson-001,剧团,《傀影与猩红孤钻》的精确泰拉日期,高,目前只能确定发生在傀影加入罗德岛之后、1100 年《红丝绒》之前。,在剧情、干员密录、新增回顾活动中查找明确日期。,待处理,
